index,GAME_ID,Team_Name,1st Half,2nd Half,1st OT,2nd OT,3rd OT,Total
,3969798,Central Mich. (17-13),32,37,,,,69
,3969798,NIU (10-20),28,35,,,,63
,3954987,Brevard (0-0),39,29,,,,68
,3954987,Wofford (1-0),42,43,,,,85
,3955042,CUI (0-0),30,34,,,,64
,3955042,Pepperdine (1-0),25,51,,,,76
,3969845,UIW (8-23),21,31,,,,52
,3969845,A&M-Corpus Christi (21-10),32,39,,,,71
,3954934,UIC (0-1),30,28,,,,58
,3954934,Cincinnati (1-0),40,29,,,,69
,3954958,Carroll (MT),30,43,,,,73
,3954958,Utah Valley (1-0),35,46,,,,81
,5251722,#6 Delaware St. (15-17),27,44,,,,71
,5251722,#2 N.C. Central (18-13),26,32,,,,58
,3955081,Dartmouth (0-1),21,33,,,,54
,3955081,Duke (1-0),42,50,,,,92
,3954961,Delta St. (0-0),25,46,,,,71
,3954961,Southeastern La. (1-0),48,42,,,,90
,5250787,#5 Towson (20-14),30,26,,,,56
,5250787,#1 Col. of Charleston (26-7),31,30,,,,61
,3969806,Binghamton (15-14),37,35,,,,72
,3969806,UMBC (11-20),40,31,,,,71
,5252504,#4 Brown (13-17),44,46,,,,90
,5252504,#1 Princeton (24-4),31,50,,,,81
,5252415,#11 Air Force (9-22),30,26,,,,56
,5252415,#6 New Mexico (23-9),49,33,,,,82
,5252641,#11 Arizona St. (14-18),22,35,,,,57
,5252641,#6 Utah (19-13),47,43,,,,90
,3954966,Tennessee Tech (0-1),12,30,,,,42
,3954966,Tennessee (1-0),41,39,,,,80
,3955022,UMBC (0-1),48,45,,,,93
,3955022,Louisville (1-0),40,54,,,,94
,3955019,Detroit Mercy (0-1),35,25,,,,60
,3955019,Toledo (1-0),51,43,,,,94
,5251899,#5 Bucknell (14-19),32,33,,,,65
,5251899,#1 Colgate (24-9),23,45,,,,68
,5251190,#6 Omaha (15-17),32,41,,,,73
,5251190,#3 North Dakota (18-14),36,36,,,,72
,5252300,#3 Marist (18-13),32,29,,,,61
,5252300,#2 Fairfield (22-11),30,35,,,,65
,3954995,Trinity Baptist,21,33,,,,54
,3954995,Stetson (1-0),59,50,,,,109
,5251261,#8 Idaho St. (14-20),21,37,,,,58
,5251261,#3 Montana (23-10),33,39,,,,72
,5252678,#14 UTSA (11-21),21,40,,,,61
,5252678,#11 Temple (13-19),35,29,,,,64
,3969821,Florida St. (15-15),31,42,,,,73
,3969821,Pittsburgh (20-10),42,46,,,,88
,5251860,#5 BYU (23-10),23,44,,,,67
,5251860,#4 Texas Tech (23-9),42,39,,,,81
,3954947,Clark Atlanta (0-0),31,40,,,,71
,3954947,Mercer (0-1),34,30,,,,64
,5251821,#5 Bowling Green (20-12),26,40,,,,66
,5251821,#4 Central Mich. (18-14),28,28,,,,56
,3955075,Louisiana Tech (0-1),34,39,,,,73
,3955075,Colorado St. (1-0),33,48,,,,81
,3954974,Tarleton St. (0-1),19,31,,,,50
,3954974,Virginia (1-0),43,37,,,,80
,5252671,#11 Temple (15-19),18,40,,,,58
,5252671,#3 Charlotte (19-12),22,32,,,,54
,3955002,Radford (0-1),41,29,,,,70
,3955002,North Carolina (1-0),46,40,,,,86
,3955047,Doane,22,31,,,,53
,3955047,Omaha (1-0),40,45,,,,85
,5251183,#4 St. Thomas (MN) (20-13),25,24,,,,49
,5251183,#1 South Dakota St. (21-12),28,31,,,,59
,5251911,#4 Austin Peay (19-15),39,52,,,,91
,5251911,#2 Stetson (22-12),36,58,,,,94
,5252297,#5 Saint Peter's (19-13),25,43,,,,68
,5252297,#2 Fairfield (22-12),32,31,,,,63
,5251836,#11 Boston College (19-14),40,36,,,,76
,5251836,#6 Clemson (21-11),28,27,,,,55
,3955005,Va. Wesleyan (0-0),26,31,,,,57
,3955005,Old Dominion (1-0),40,31,,,,71
,5252540,#7 Texas A&M (20-14),50,40,,,,90
,5252540,#6 Florida (24-10),42,53,,,,95
,5252553,#13 Vanderbilt (9-23),41,37,7,,,85
,5252553,#12 Arkansas (16-16),27,51,12,,,90
,5250628,#5 North Florida (16-16),34,53,11,,,98
,5250628,#4 Austin Peay (18-14),33,54,14,,,101
,3955034,William Carey,19,23,,,,42
,3955034,Southern Miss. (1-0),28,36,,,,64
,3954921,New Mexico St. (0-1),29,17,,,,46
,3954921,Kentucky (1-0),37,49,,,,86
,3954989,Sam Houston (1-0),25,39,,,,64
,3954989,Pacific (0-1),25,32,,,,57
,5252391,#4 Long Beach St. (20-14),47,36,,,,83
,5252391,#1 UC Irvine (24-9),38,41,,,,79
,3969971,Oakland (0-1),35,38,,,,73
,3969971,Ohio St. (1-0),34,45,,,,79
,5251815,#3 Ohio (20-13),26,36,,,,62
,5251815,#2 Akron (23-10),16,49,,,,65
,3954942,Ark.-Pine Bluff (0-1),40,39,,,,79
,3954942,Missouri (1-0),57,44,,,,101
,5250419,#6 Milwaukee (20-14),31,51,,,,82
,5250419,#5 Northern Ky. (18-15),38,37,,,,75
,5252385,#9 Xavier (16-16),32,44,,,,76
,5252385,#8 Butler (18-14),31,41,,,,72
,3969808,Vermont (25-6),25,43,,,,68
,3969808,New Hampshire (15-14),24,40,,,,64
,5252327,#9 Saint Joseph's (21-13),25,35,,,,60
,5252327,#5 VCU (22-12),23,43,,,,66
,3954937,Northern Ky. (0-1),21,36,,,,57
,3954937,Middle Tenn. (1-0),45,29,,,,74
,3969796,Liberty (17-13),30,31,,,,61
,3969796,Middle Tenn. (13-17),33,36,,,,69
,5252335,#9 Saint Joseph's (21-12),22,44,,,,66
,5252335,#1 Richmond (23-9),24,37,,,,61
,3955072,Coppin St. (0-1),19,36,,,,55
,3955072,Virginia Tech (1-0),45,55,,,,100
,3954984,St. Andrews,24,27,,,,51
,3954984,High Point (1-0),46,59,,,,105
,3969847,Mississippi St. (19-11),32,37,,,,69
,3969847,Texas A&M (17-13),45,30,,,,75
,3955036,UNT Dallas,28,39,,,,67
,3955036,Grambling (1-0),43,39,,,,82
,3954964,Rivier (0-0),27,24,,,,51
,3954964,UMass Lowell (1-0),50,46,,,,96
,5250792,#6 Delaware (19-14),29,29,,,,58
,5250792,#3 Hofstra (20-12),35,38,,,,73
,5252506,#5 Bethune-Cookman (17-16),19,34,,,,53
,5252506,#1 Grambling (19-14),44,21,,,,65
,3954922,Iona (0-1),39,30,,,,69
,3954922,Col. of Charleston (1-0),46,25,,,,71
,5252301,#9 Canisius (14-18),27,25,,,,52
,5252301,#1 Quinnipiac (24-8),34,42,,,,76
,3955029,Northwest Indian,27,36,,,,63
,3955029,Montana St. (1-0),45,58,,,,103
,5250630,#8 Queens (NC) (14-19),36,35,,,,71
,5250630,#2 Stetson (20-12),38,45,,,,83
,3955057,Cornell (1-0),39,45,,,,84
,3955057,Lehigh (0-1),44,34,,,,78
,3954928,Lipscomb (0-1),31,28,,,,59
,3954928,Wichita St. (1-0),44,32,,,,76
,3969825,East Carolina (14-16),30,35,12,,,77
,3969825,SMU (20-10),22,43,15,,,80
,3955018,New Hampshire (0-1),32,40,,,,72
,3955018,Syracuse (1-0),44,39,,,,83
,3954919,Loyola Maryland (0-1),30,43,,,,73
,3954919,Florida (1-0),42,51,,,,93
,5251814,#8 Kent St. (17-16),34,39,,,,73
,5251814,#5 Bowling Green (20-13),28,32,,,,60
,3955108,Jarvis Christian,27,39,,,,66
,3955108,Lamar University (1-0),68,46,,,,114
,3954951,Mobile,47,36,,,,83
,3954951,South Alabama (0-1),23,51,,,,74
,5250805,#7 ETSU (19-16),38,31,,,,69
,5250805,#1 Samford (29-5),40,36,,,,76
,5251909,#13 Oklahoma St. (12-20),31,31,,,,62
,5251909,#12 UCF (17-14),35,42,,,,77
,5252348,#13 Davidson (15-17),27,34,2,,,63
,5252348,#12 Fordham (13-19),19,42,10,,,71
,3969797,St. John's (NY) (18-12),54,50,,,,104
,3969797,DePaul (3-27),28,49,,,,77
,5252377,#3 Marquette (25-9),24,33,,,,57
,5252377,#1 UConn (31-3),26,47,,,,73
,5252345,#14 Saint Louis (13-20),39,34,,,,73
,5252345,#6 Duquesne (21-11),43,40,,,,83
,5252396,#8 CSU Bakersfield (13-19),44,34,,,,78
,5252396,#5 UC Riverside (16-17),33,50,,,,83
,3953731,Arkansas St. (0-1),41,35,,,,76
,3953731,Wisconsin (1-0),56,49,,,,105
,3954917,Nicholls (0-1),42,39,,,,81
,3954917,Tulane (1-0),46,45,,,,91
,3955009,Longwood (0-1),30,39,,,,69
,3955009,St. Bonaventure (1-0),35,38,,,,73
,5251300,#8 New Orleans (10-22),39,39,,,,78
,5251300,#5 Southeastern La. (15-17),33,33,,,,66
,5251264,#10 Sacramento St. (10-23),35,39,,,,74
,5251264,#1 Eastern Wash. (21-11),32,37,,,,69
,5252651,#10 Ohio St. (20-13),29,45,,,,74
,5252651,#2 Illinois (24-8),31,46,,,,77
,3955061,Coast Guard (0-0),28,20,,,,48
,3955061,Quinnipiac (1-0),67,49,,,,116
,5251180,#7 Denver (17-17),23,45,,,,68
,5251180,#1 South Dakota St. (22-12),37,39,,,,76
,5252414,#10 San Jose St. (9-23),29,33,,,,62
,5252414,#7 Colorado St. (23-9),34,38,,,,72
,3969805,Ole Miss (20-10),32,34,,,,66
,3969805,Georgia (16-14),35,34,,,,69
,3955028,McMurry (0-0),43,28,,,,71
,3955028,UTEP (1-0),59,61,,,,120
,5252523,#8 California Baptist (16-17),26,31,,,,57
,5252523,#4 Seattle U (19-13),43,38,,,,81
,3955062,Texas Southern (0-1),24,31,,,,55
,3955062,New Mexico (1-0),41,51,,,,92
,3955012,VMI (0-1),36,39,,,,75
,3955012,Richmond (1-0),55,38,,,,93
,3954962,Champion Chris.,28,48,,,,76
,3954962,UT Martin (1-0),53,51,,,,104
,5252652,#6 Indiana (19-14),27,39,,,,66
,5252652,#3 Nebraska (23-9),50,43,,,,93
,3954945,Towson (0-1),24,33,,,,57
,3954945,Colorado (1-0),28,47,,,,75
,3954916,Eastern Wash. (0-1),20,46,,,,66
,3954916,Utah (1-0),44,57,,,,101
,5251296,#7 Tex. A&M-Commerce (13-20),21,30,,,,51
,5251296,#3 Nicholls (19-13),34,38,,,,72
,5246924,#11 Texas St. (17-18),29,39,,,,68
,5246924,#2 James Madison (30-3),37,36,,,,73
,5252648,#3 Nebraska (23-10),51,36,,,,87
,5252648,#2 Illinois (25-8),40,58,,,,98
,5252660,#14 Michigan (8-24),22,35,,,,57
,5252660,#11 Penn St. (16-16),33,33,,,,66
,3955071,Abilene Christian (1-0),36,28,,,,64
,3955071,Oklahoma St. (0-1),25,34,,,,59
,5252503,#3 Cornell (22-7),25,32,,,,57
,5252503,#2 Yale (21-9),37,32,,,,69
,3954960,Warner Pacific,16,20,,,,36
,3954960,Idaho St. (1-0),51,41,,,,92
,3955069,UMES (0-1),23,42,,,,65
,3955069,Temple (1-0),35,50,,,,85
,5251828,#10 NC State (21-14),29,29,15,,,73
,5251828,#3 Virginia (23-10),29,29,7,,,65
,3954967,Northern Ariz. (0-1),30,22,,,,52
,3954967,UConn (1-0),47,48,,,,95
,5252632,#4 Oregon (22-11),23,44,,,,67
,5252632,#1 Arizona (25-8),33,26,,,,59
,3954969,S'western Adventist,25,34,,,,59
,3954969,UTRGV (1-0),59,51,,,,110
,5251838,#15 Louisville (8-24),46,39,,,,85
,5251838,#10 NC State (18-14),45,49,,,,94
,5252526,#7 Abilene Christian (15-17),23,34,,,,57
,5252526,#6 SFA (18-14),29,31,,,,60
,5254289,UC Irvine (24-10),40,35,,,,75
,5254289,#2 Utah (20-14),46,38,,,,84
,5251835,#10 NC State (19-14),35,48,,,,83
,5251835,#7 Syracuse (20-12),32,33,,,,65
,3969800,Air Force (9-20),22,41,,,,63
,3969800,Wyoming (14-16),27,47,,,,74
,5251813,#8 Kent St. (17-17),29,32,,,,61
,5251813,#2 Akron (24-10),34,28,,,,62
